證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
6278,台表科,5062967,2954,264110967,52.5,52.9,51.2,52.3,+,0.5,52.3,14,52.4,115,13.41
6281,全國電,37000,30,2425500,65.6,65.7,65.5,65.5,-,0.1,65.5,76,65.6,10,18.71
6282,康舒,961100,488,18637890,19.4,19.6,19.25,19.3,-,0.1,19.25,64,19.3,1,8.43
6283,淳安,109256,92,3806867,35.05,35.35,34.5,34.5,-,0.5,34.5,23,34.7,2,115
6285,啟碁,879095,623,60808386,69.5,69.6,68.9,69.1,-,0.5,69.1,17,69.3,5,14.19
6288,聯嘉,390000,187,6726200,17.55,17.55,17.05,17.25,-,0.3,17.2,11,17.25,1,19.17
6289,華上,80000,8,48790,0.6,0.61,0.6,0.61,+,0.01,0.61,20,0.63,44,2.44
6405,悅城,18000,6,252750,14,14.15,14,14.1,-,0.15,14,15,14.15,2,0
6409,旭隼,27032,28,15840880,585,592,581,585,+,5,582,3,586,2,24.29
6412,群電,35250,37,1687100,48,48.05,47.5,47.55,+,0.1,47.55,2,47.6,2,15.69
6414,樺漢,333062,307,68918302,209.5,211,205,205.5,-,4.5,205.5,8,206.5,2,16.69
6415,矽力-KY,258500,257,115489000,443,453,443,451,+,8,450.5,2,452,3,22.86
6416,瑞祺電通,67300,64,4902168,72.9,73.6,72.3,72.9,-,0.1,72.6,1,72.9,1,13.97
6431,光麗-KY,51000,32,1390350,27.35,27.6,27.15,27.2,-,0.15,27.2,11,27.6,3,0
6442,光聖,38000,21,1452950,38.5,38.8,37.7,38.45,-,0.05,38.45,11,38.5,30,13.21
6443,元晶,657700,204,4032855,6.15,6.19,6.08,6.08,-,0.03,6.08,8,6.13,16,0
6449,鈺邦,214425,173,5990622,28.2,28.25,27.7,27.7,-,0.6,27.7,13,27.85,2,19.93
6451,訊芯-KY,790700,601,70389549,88.6,90.1,88.2,89.8,+,2.1,89.8,2,89.9,23,21.85
6452,康友-KY,156181,146,33423453,216.5,216.5,212.5,213.5,-,1.5,213.5,11,214,4,14.62
6456,GIS-KY,3160302,2337,312533198,98.3,100,98,98.1,-,1.2,98.1,9,98.3,3,8.15
6464,台數科,16000,10,1706500,106,107,106,107, ,0,106.5,3,107,2,20.66
6477,安集,271200,132,6228150,23.25,23.3,22.8,22.95,-,0.3,22.95,1,23,15,8.73
6504,南六,36049,37,5796889,163,163,159.5,159.5,-,3.5,159.5,1,161,2,19.03
6505,台塑化,1902358,1002,218679346,115.5,116,114.5,115,-,1.5,114.5,133,115,154,21.46
6525,捷敏-KY,164126,139,10991946,67.9,68,66.3,66.3,-,1.6,66.3,3,66.9,5,9.74
6531,愛普,24000,20,878750,36.45,36.75,36.45,36.55,+,0.05,36.3,2,36.55,1,0
6533,晶心科,393351,326,39478851,100,101.5,99.9,101,+,0.5,100.5,7,101,20,109.78
6541,泰福-KY,106141,77,7912632,75.2,75.2,73.8,74.7,-,0.6,74.7,8,74.8,3,0
6552,易華電,7793424,5683,689859812,92.1,93.3,86.4,87.5,-,5.8,87.4,1,87.5,16,26.84
6558,興能高,426700,369,24572720,57.3,58,57.1,57.5, ,0,57.5,38,57.6,2,30.1
6573,虹揚-KY,148000,54,3533300,24.15,24.3,23.55,24,+,0.1,24,3,24.1,3,88.89
6579,研揚,83000,25,6687000,80.5,81,80.2,80.8,+,0.2,80.6,15,80.8,1,17.38
6581,鋼聯,3000,3,283100,94.5,94.5,94.3,94.3,-,0.8,94.3,3,95,1,13.53
6582,申豐,1000,1,53800,53.8,53.8,53.8,53.8,-,0.4,53.7,1,54.7,1,12.17
6591,動力-KY,117500,93,4869350,42.05,42.1,41.05,41.25,-,1.05,41.1,5,41.3,3,21.05
6605,帝寶,86000,48,5899000,68.7,68.8,68.3,68.5,-,0.1,68.4,2,68.5,1,11.23
6625,必應,11100,12,572380,51.6,52,51,51.8,+,0.2,51.8,1,51.9,2,14.55
6641,基士德-KY,22100,21,1400630,63.4,63.6,63.1,63.2,-,0.1,63.1,3,63.4,2,10.06
6655,科定,32000,18,1711500,53.5,53.5,53.3,53.3,-,0.2,53.3,5,53.6,1,17.03
6666,羅麗芬-KY,69012,51,12412684,181.5,181.5,179,180, ,0,180,1,180.5,10,17.98
6668,中揚光,62150,58,3770180,60.6,61.1,60.5,60.5,-,0.6,60.5,1,61,2,29.51
6669,緯穎,725598,716,234040350,318.5,326,315.5,324.5,+,2.5,324,4,324.5,4,10.15
6670,復盛應用,705280,582,122781620,172,176,171.5,174.5,+,3.5,174,18,174.5,2,11.02
6671,三能-KY,1000,1,45100,45.1,45.1,45.1,45.1,+,0.1,44.25,1,45.2,11,15.34
6672,騰輝電子-KY,165070,131,11924640,73,73.1,71.7,71.8,-,1.2,71.7,1,71.8,11,11.45
6674,鋐寶科技,34000,27,1024350,30.1,30.45,29.6,29.65,-,0.3,29.65,2,30,6,10.74
8011,台通,90081,64,1440710,16.1,16.1,15.9,16,+,0.1,15.95,5,16.05,11,0
8016,矽創,2661637,1708,347832447,131,132.5,128,131,-,2.5,130.5,2,131,7,17.26
8021,尖點,106900,65,2029500,19.05,19.1,18.9,18.9,-,0.1,18.9,7,19,8,12.04
8028,昇陽半導體,654150,410,28501439,43.6,43.85,43.2,43.6,+,0.45,43.5,1,43.6,2,21.8
8033,雷虎,338303,183,3686585,11,11.05,10.8,10.85,-,0.15,10.85,32,10.95,41,0
8039,台虹,1093660,731,41042982,37.85,38.15,37.2,37.4,-,0.4,37.35,4,37.45,11,13.75
8046,南電,6532461,3585,209060505,32.85,33.2,31.5,31.55,-,1.1,31.55,124,31.6,3,0
8070,長華,109050,91,16115000,149,149,146.5,148.5,-,1,148,4,148.5,1,8.84
8072,陞泰,17800,11,366650,20.7,20.7,20.55,20.55,-,0.15,20.5,16,20.8,1,0
8081,致新,1057730,851,91227858,87.8,88.3,84.8,85.7,-,2.3,85.7,16,85.8,7,12.81
8101,華冠,72701,39,210876,2.88,2.94,2.88,2.88, ,0,2.88,1,2.89,7,0
8103,瀚荃,29372,21,703690,24,24,23.85,24,+,0.1,23.85,9,24,3,9.2
8104,錸寶,33200,38,2233460,67.5,67.5,67,67.3,-,0.8,67.3,1,67.4,2,13.38
8105,凌巨,2056019,750,21571695,10.6,10.8,10.3,10.35,-,0.25,10.3,21,10.35,11,0
8110,華東,384000,169,3600850,9.43,9.46,9.32,9.35,-,0.1,9.35,45,9.36,9,19.89
8112,至上,1180980,674,37009471,31.4,31.4,31.2,31.3,+,0.05,31.3,33,31.35,20,8.67
8114,振樺電,49080,46,5141400,105.5,105.5,104,104,-,0.5,103.5,8,104.5,14,11.09
8131,福懋科,218658,142,7404253,33.8,34.25,33.6,34.25,+,0.4,33.75,3,34.25,4,10.87
8150,南茂,4712652,2670,111691664,24.35,24.4,23.25,23.35,-,1,23.35,12,23.4,1,13.34
8163,達方,1273380,795,53344150,42.2,42.4,41.7,41.75,-,0.45,41.75,3,41.8,1,7.42
8201,無敵,15036,19,183185,12.4,12.4,12.15,12.25,-,0.2,12.2,3,12.25,1,0
8210,勤誠,120862,111,7436525,61.5,62.2,61.2,61.7,+,0.3,61.6,1,61.7,2,9.54
8213,志超,647781,460,22930489,35.7,35.85,35.2,35.45,-,0.2,35.35,6,35.45,4,7.86
8215,明基材,1469265,890,34512375,23.9,23.9,23.25,23.4,-,0.5,23.35,27,23.4,14,26
8222,寶一,888372,493,18990908,20.9,21.8,20.85,21.8,+,1,21.8,11,21.85,1,27.59
8249,菱光,49545,48,1073575,21.95,21.95,21.5,21.6,-,0.35,21.55,3,21.95,2,11.43
8261,富鼎,103575,96,2545678,24.6,24.8,24.4,24.4,-,0.1,24.35,7,24.5,2,11.67
8271,宇瞻,97201,80,3120870,32.4,32.4,32,32.15,-,0.35,32.1,2,32.15,10,9.8
8341,日友,175245,177,46706781,269,269.5,265,267.5,-,1.5,267,1,268,1,35.62
8367,建新國際,11000,8,243600,22.2,22.2,22,22,-,0.1,22,1,22.15,4,13.33
8374,羅昇,78800,46,1521430,19.7,19.7,19.2,19.25,-,0.55,19.25,12,19.3,5,22.38
8404,百和興業-KY,169513,112,8057041,47.4,47.8,47,47.8,+,0.2,47.05,3,47.8,10,38.55
8411,福貞-KY,42605,20,632564,14.9,15,14.75,15,+,0.1,14.8,6,15,2,0
8422,可寧衛,103556,84,17509520,169,169.5,168.5,169,+,0.5,168.5,59,169.5,23,15.14
8427,基勝-KY,2000,2,76500,38.25,38.25,38.25,38.25,-,0.2,38.2,2,39.4,1,55.43
8429,金麗-KY,223009,140,3320280,14.95,15,14.8,14.9,-,0.05,14.9,3,14.95,40,7.56
8442,威宏-KY,55000,10,3272900,59.5,59.6,59,59.5,-,0.2,58.8,1,59.4,1,16.48
8443,阿瘦,8001,7,95712,12,12,11.9,11.9,-,0.05,11.9,3,12,1,238
8454,富邦媒,28332,32,6865842,242,243,242,242.5,+,0.5,242,1,242.5,1,22.11
